rxcui_from,tty_from,rxcui_to,tty_to
2658682,SBDFP,1867620,SBD
2658682,SBDFP,1012391,SCD
2658682,SBDFP,1672917,SCD
2658682,SBDFP,1672919,SCD
2658682,SBDFP,1867594,SCD
2658682,SBDFP,1867596,SCD
2659056,SBDFP,2395798,BPCK
2659056,SBDFP,2395792,GPCK
2659056,SBDFP,2395797,SBD
2659056,SBDFP,2395791,SCD
1670364,SCDF,1012461,SBD
1670364,SCDF,1673142,SBD
1670364,SCDF,1670365,SCD
1672916,SCDF,1012421,SBD
1672916,SCDF,1673242,SBD
1672916,SCDF,1673243,SBD
1672916,SCDF,1673296,SBD
1672916,SCDF,1673298,SBD
1672916,SCDF,1867612,SBD
1672916,SCDF,1867614,SBD
1672916,SCDF,1867618,SBD
1672916,SCDF,1867620,SBD
1672916,SCDF,1012391,SCD
1672916,SCDF,1672917,SCD
1672916,SCDF,1672919,SCD
1672916,SCDF,1867594,SCD
1672916,SCDF,1867596,SCD
1724783,SCDF,1191513,SBD
1724783,SCDF,1724792,SBD
1724783,SCDF,1724794,SBD
1724783,SCDF,1724796,SBD
1724783,SCDF,1724807,SBD
1724783,SCDF,1724809,SBD
1724783,SCDF,1724810,SBD
1724783,SCDF,1724881,SBD
1724783,SCDF,1724885,SBD
1724783,SCDF,1725044,SBD
1724783,SCDF,1725046,SBD
1724783,SCDF,1725079,SBD
1724783,SCDF,1725083,SBD
1724783,SCDF,1725175,SBD
1724783,SCDF,1725177,SBD
1724783,SCDF,1745062,SBD
1724783,SCDF,2563417,SBD
1724783,SCDF,2566190,SBD
1724783,SCDF,1191508,SCD
1724783,SCDF,1724784,SCD
1724783,SCDF,1724786,SCD
1724783,SCDF,1724787,SCD
1724783,SCDF,1724880,SCD
1724783,SCDF,1724884,SCD
1724783,SCDF,1725078,SCD
1724783,SCDF,1725082,SCD
1724783,SCDF,1725696,SCD
1724783,SCDF,1745061,SCD
1724783,SCDF,2178759,SCD
1724783,SCDF,2178760,SCD
1724783,SCDF,2563412,SCD
2395790,SCDF,2395798,BPCK
2395790,SCDF,2395792,GPCK
2395790,SCDF,2395797,SBD
2395790,SCDF,2395791,SCD
2560316,SCDF,2560306,SBD
2560316,SCDF,2560308,SBD
2560316,SCDF,2560312,SCD
2560316,SCDF,2560321,SCD
371160,SCDF,1012400,SBD
371160,SCDF,1012406,SBD
371160,SCDF,1012455,SBD
371160,SCDF,1012457,SBD
371160,SCDF,1012396,SCD
371160,SCDF,1012404,SCD
371160,SCDF,1012431,SCD
374372,SCDF,1012381,SBD
374372,SCDF,1012388,SBD
374372,SCDF,1012413,SBD
374372,SCDF,1012417,SBD
374372,SCDF,1012377,SCD
374372,SCDF,1012384,SCD
437117,SCDF,1012108,SCD
2645891,SCDFP,1012421,SBD
2645891,SCDFP,1673242,SBD
2645891,SCDFP,1673243,SBD
2645891,SCDFP,1673296,SBD
2645891,SCDFP,1673298,SBD
2645891,SCDFP,1867612,SBD
2645891,SCDFP,1867614,SBD
2645891,SCDFP,1867618,SBD
2645891,SCDFP,1867620,SBD
2645891,SCDFP,1012391,SCD
2645891,SCDFP,1672917,SCD
2645891,SCDFP,1672919,SCD
2645891,SCDFP,1867594,SCD
2645891,SCDFP,1867596,SCD
2645894,SCDFP,1724792,SBD
2645894,SCDFP,1724794,SBD
2645894,SCDFP,1724796,SBD
2645894,SCDFP,1724807,SBD
2645894,SCDFP,1724809,SBD
2645894,SCDFP,1724810,SBD
2645894,SCDFP,1724881,SBD
2645894,SCDFP,1724885,SBD
2645894,SCDFP,1725044,SBD
2645894,SCDFP,1725046,SBD
2645894,SCDFP,1725079,SBD
2645894,SCDFP,1725083,SBD
2645894,SCDFP,1725175,SBD
2645894,SCDFP,1725177,SBD
2645894,SCDFP,1724784,SCD
2645894,SCDFP,1724786,SCD
2645894,SCDFP,1724787,SCD
2645894,SCDFP,1724880,SCD
2645894,SCDFP,1724884,SCD
2645894,SCDFP,1725078,SCD
2645894,SCDFP,1725082,SCD
2645894,SCDFP,1725696,SCD
2645894,SCDFP,2178759,SCD
2645894,SCDFP,2178760,SCD
2646048,SCDFP,1191513,SBD
2646048,SCDFP,1745062,SBD
2646048,SCDFP,2566190,SBD
2646048,SCDFP,1191508,SCD
2646048,SCDFP,1745061,SCD
2646864,SCDFP,1012108,SCD
2647181,SCDFP,1012381,SBD
2647181,SCDFP,1012388,SBD
2647181,SCDFP,1012413,SBD
2647181,SCDFP,1012417,SBD
2647181,SCDFP,1012377,SCD
2647181,SCDFP,1012384,SCD
2647866,SCDFP,2395798,BPCK
2647866,SCDFP,2395792,GPCK
2647866,SCDFP,2395797,SBD
2647866,SCDFP,2395791,SCD
2648288,SCDFP,1012400,SBD
2648288,SCDFP,1012406,SBD
2648288,SCDFP,1012455,SBD
2648288,SCDFP,1012457,SBD
2648288,SCDFP,1012396,SCD
2648288,SCDFP,1012404,SCD
2648288,SCDFP,1012431,SCD
2648403,SCDFP,1012461,SBD
2648403,SCDFP,1673142,SBD
2648403,SCDFP,1670365,SCD
1734085,SBDF,1734086,SBD
1734085,SBDF,1734091,SBD
1734085,SBDF,1734204,SBD
1734085,SBDF,1734208,SBD
1734085,SBDF,1734348,SBD
1734085,SBDF,1734356,SBD
1734085,SBDF,1734476,SBD
1734085,SBDF,1734480,SBD
1734085,SBDF,1734482,SBD
1734085,SBDF,1734484,SBD
1734085,SBDF,905191,SBD
1734085,SBDF,1734084,SCD
1734085,SBDF,1734090,SCD
1734085,SBDF,1734203,SCD
1734085,SBDF,1734207,SCD
1734085,SBDF,1734347,SCD
1734085,SBDF,1734355,SCD
1734085,SBDF,1734475,SCD
1734085,SBDF,1734479,SCD
1734085,SBDF,1734481,SCD
1734085,SBDF,1734483,SCD
1734085,SBDF,905189,SCD
2655521,SBDFP,1734086,SBD
2655521,SBDFP,1734091,SBD
2655521,SBDFP,1734204,SBD
2655521,SBDFP,1734208,SBD
2655521,SBDFP,1734348,SBD
2655521,SBDFP,1734356,SBD
2655521,SBDFP,1734476,SBD
2655521,SBDFP,1734480,SBD
2655521,SBDFP,1734482,SBD
2655521,SBDFP,1734484,SBD
2655521,SBDFP,905191,SBD
2655521,SBDFP,1734084,SCD
2655521,SBDFP,1734090,SCD
2655521,SBDFP,1734203,SCD
2655521,SBDFP,1734207,SCD
2655521,SBDFP,1734347,SCD
2655521,SBDFP,1734355,SCD
2655521,SBDFP,1734475,SCD
2655521,SBDFP,1734479,SCD
2655521,SBDFP,1734481,SCD
2655521,SBDFP,1734483,SCD
2655521,SBDFP,905189,SCD
1734083,SCDF,1734086,SBD
1734083,SCDF,1734091,SBD
1734083,SCDF,1734204,SBD
1734083,SCDF,1734208,SBD
1734083,SCDF,1734348,SBD
1734083,SCDF,1734356,SBD
1734083,SCDF,1734476,SBD
1734083,SCDF,1734480,SBD
1734083,SCDF,1734482,SBD
1734083,SCDF,1734484,SBD
1734083,SCDF,905191,SBD
1734083,SCDF,1734084,SCD
1734083,SCDF,1734090,SCD
1734083,SCDF,1734203,SCD
1734083,SCDF,1734207,SCD
1734083,SCDF,1734347,SCD
1734083,SCDF,1734355,SCD
1734083,SCDF,1734475,SCD
1734083,SCDF,1734479,SCD
1734083,SCDF,1734481,SCD
1734083,SCDF,1734483,SCD
1734083,SCDF,905189,SCD
1996290,SCDF,1996291,SCD
1996290,SCDF,1996297,SCD
2646704,SCDFP,1734086,SBD
2646704,SCDFP,1734091,SBD
2646704,SCDFP,1734204,SBD
2646704,SCDFP,1734208,SBD
2646704,SCDFP,1734348,SBD
2646704,SCDFP,1734356,SBD
2646704,SCDFP,1734476,SBD
2646704,SCDFP,1734480,SBD
2646704,SCDFP,1734482,SBD
