"PRODUCT NDC","PRODUCT TYPE NAME","NONPROPRIETARY NAME","DOSAGE FORM NAME","ROUTE NAME","MARKETING CATEGORY NAME","ESTABLISHMENT INFORMATION","SUBSTANCE NAME","ACTIVE INGREDIENTS INFO","NDC PACKAGE CODE","PACKAGE DESCRIPTION","REPORTING PERIOD","DEA SCHEDULE"
"71285-8029","HUMAN COMPOUNDED DRUG","MSA 7.84% MSG 8.56% 0.92 Molar Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","GLUTAMIC ACID; ASPARTIC ACID","67.29 g/1000 mL; 60.3 g/1000 mL","71285-8029-1","1000 mL in 1 BAG (71285-8029-1)","2022-1, 2021-2, 2022-2",""
"71285-8029","HUMAN COMPOUNDED DRUG","MSA 7.84% MSG 8.56% 0.92 Molar Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","GLUTAMIC ACID; ASPARTIC ACID","67.29 g/1000 mL; 60.3 g/1000 mL","71285-8029-1","1000 mL in 1 BAG (71285-8029-1)","2022-1, 2021-2, 2022-2",""
"71285-8029","HUMAN COMPOUNDED DRUG","MSA 7.84% MSG 8.56% 0.92 Molar Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","GLUTAMIC ACID; ASPARTIC ACID","67.29 g/1000 mL; 60.3 g/1000 mL","71285-8029-1","1000 mL in 1 BAG (71285-8029-1)","2022-1, 2021-2, 2022-2",""
"71285-8035","HUMAN COMPOUNDED DRUG","Sodium Chloride 23.4% Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","SODIUM CHLORIDE","117 g/500 mL","71285-8035-1","500 mL in 1 BAG (71285-8035-1)","2022-1, 2021-2, 2022-2",""
"71285-8035","HUMAN COMPOUNDED DRUG","Sodium Chloride 23.4% Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","SODIUM CHLORIDE","117 g/500 mL","71285-8035-1","500 mL in 1 BAG (71285-8035-1)","2022-1, 2021-2, 2022-2",""
"71285-8035","HUMAN COMPOUNDED DRUG","Sodium Chloride 23.4% Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","SODIUM CHLORIDE","117 g/500 mL","71285-8035-1","500 mL in 1 BAG (71285-8035-1)","2022-1, 2021-2, 2022-2",""
"71285-8035","HUMAN COMPOUNDED DRUG","Sodium Chloride 23.4% Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","SODIUM CHLORIDE","117 g/500 mL","71285-8035-2","1000 mL in 1 BAG (71285-8035-2)","2022-1",""
"71285-8069","HUMAN COMPOUNDED DRUG","Oxytocin 40units added to NS","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","OXYTOCIN","40 [USP'U]/1000 mL","71285-8069-1","1000 mL in 1 BAG (71285-8069-1)","2022-1, 2021-2, 2022-2",""
"71285-8069","HUMAN COMPOUNDED DRUG","Oxytocin 40units added to NS","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","OXYTOCIN","40 [USP'U]/1000 mL","71285-8069-1","1000 mL in 1 BAG (71285-8069-1)","2022-1, 2021-2, 2022-2",""
"71285-8069","HUMAN COMPOUNDED DRUG","Oxytocin 40units added to NS","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","OXYTOCIN","40 [USP'U]/1000 mL","71285-8069-1","1000 mL in 1 BAG (71285-8069-1)","2022-1, 2021-2, 2022-2",""
"71285-8073","HUMAN COMPOUNDED DRUG","Magnesium Sulfate 50% (4.06mEq/ml) Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","MAGNESIUM SULFATE HEPTAHYDRATE","255 g/500 mL","71285-8073-1","500 mL in 1 BAG (71285-8073-1)","2022-1, 2021-2, 2022-2",""
"71285-8073","HUMAN COMPOUNDED DRUG","Magnesium Sulfate 50% (4.06mEq/ml) Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","MAGNESIUM SULFATE HEPTAHYDRATE","255 g/500 mL","71285-8073-1","500 mL in 1 BAG (71285-8073-1)","2022-1, 2021-2, 2022-2",""
