"PRODUCT NDC","PRODUCT TYPE NAME","NONPROPRIETARY NAME","DOSAGE FORM NAME","ROUTE NAME","MARKETING CATEGORY NAME","ESTABLISHMENT INFORMATION","SUBSTANCE NAME","ACTIVE INGREDIENTS INFO","NDC PACKAGE CODE","PACKAGE DESCRIPTION","REPORTING PERIOD","DEA SCHEDULE"
"70092-315","HUMAN COMPOUNDED DRUG","Morphine PF 1 mg/ml 50 ml NS CADD FSFF","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","MORPHINE SULFATE","50 mg/50 mL","70092-315-74","50 mL in 1 CARTRIDGE (70092-315-74)","2022-1","CII"
"70092-333","HUMAN COMPOUNDED DRUG","Ropivacaine PF 0.2% 100ml CADD FSFF","INJECTION","EPIDURAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","ROPIVACAINE HYDROCHLORIDE","200 mg/100 mL","70092-333-75","100 mL in 1 CARTRIDGE (70092-333-75)","2022-2, 2022-1",""
"70092-333","HUMAN COMPOUNDED DRUG","Ropivacaine PF 0.2% 100ml CADD FSFF","INJECTION","EPIDURAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","ROPIVACAINE HYDROCHLORIDE","200 mg/100 mL","70092-333-75","100 mL in 1 CARTRIDGE (70092-333-75)","2022-2, 2022-1",""
"70092-335","HUMAN COMPOUNDED DRUG","Ropivacaine PF 0.2% 250ml CADD-Y FSFF","INJECTION","EPIDURAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","ROPIVACAINE HYDROCHLORIDE","500 mg/250 mL","70092-335-76","250 mL in 1 BAG (70092-335-76)","2022-2, 2022-1",""
"70092-335","HUMAN COMPOUNDED DRUG","Ropivacaine PF 0.2% 250ml CADD-Y FSFF","INJECTION","EPIDURAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","ROPIVACAINE HYDROCHLORIDE","500 mg/250 mL","70092-335-76","250 mL in 1 BAG (70092-335-76)","2022-2, 2022-1",""
"70092-336","HUMAN COMPOUNDED DRUG","Succinylcholine 20 mg/ml 7 ml-10 ml syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","SUCCINYLCHOLINE CHLORIDE","140 mg/7 mL","70092-336-46","7 mL in 1 SYRINGE (70092-336-46)","2022-2, 2022-1",""
"70092-336","HUMAN COMPOUNDED DRUG","Succinylcholine 20 mg/ml 7 ml-10 ml syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","SUCCINYLCHOLINE CHLORIDE","140 mg/7 mL","70092-336-46","7 mL in 1 SYRINGE (70092-336-46)","2022-2, 2022-1",""
"70092-380","HUMAN COMPOUNDED DRUG","Morphine PF 1 mg/ml in 100 ml NS IVB","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","MORPHINE SULFATE","100 mg/100 mL","70092-380-36","100 mL in 1 BAG (70092-380-36)","2022-2, 2022-1","CII"
"70092-380","HUMAN COMPOUNDED DRUG","Morphine PF 1 mg/ml in 100 ml NS IVB","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","MORPHINE SULFATE","100 mg/100 mL","70092-380-36","100 mL in 1 BAG (70092-380-36)","2022-2, 2022-1","CII"
"70092-399","HUMAN COMPOUNDED DRUG","Fent2mcg/mL-Rop0.1% PF100mlNS CADD-YFSFF","INJECTION","EPIDURAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","FENTANYL CITRATE; ROPIVACAINE HYDROCHLORIDE","200 ug/100 mL; 100 mg/100 mL","70092-399-75","200 mL in 1 CARTRIDGE (70092-399-75)","2022-2, 2022-1","CII"
